app,version,sdk_min,method,type,checked_version,true_apis,false_apis,only_in_true_apis,only_in_false_apis,message,modified_files
cn.amazon.mShop.android,8.5.0.600,16,amazon.android.dexload.ApkRootDexFileLoader.getDexFileList()Ljava/util/List;,<=,20,android.util.Log.d(Ljava/lang/String;Ljava/lang/String;)I,"",android.util.Log.d(Ljava/lang/String;Ljava/lang/String;)I,"",,0
cn.amazon.mShop.android,8.5.0.600,16,amazon.android.dexload.SupplementalDexLoader.updateClassLoader(Landroid/content/Context;Lamazon/android/dexload/SupplementalDexLoader$MultiThreaded;Ljava/util/List;Z)V,<=,13,android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.content.Context.getDir(Ljava/lang/String;I)Ljava/io/File;&android.content.Context.getPackageName()Ljava/lang/String;&android.content.Context.getClassLoader()Ljava/lang/ClassLoader;&dalvik.system.DexFile.loadDex(Ljava/lang/String;Ljava/lang/String;I)Ldalvik/system/DexFile;&android.content.SharedPreferences.getLong(Ljava/lang/String;J)J&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.content.Context.getSharedPreferences(Ljava/lang/String;I)Landroid/content/SharedPreferences;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.util.Log.v(Ljava/lang/String;Ljava/lang/String;)I&android.content.Context.getPackageName()Ljava/lang/String;&android.content.SharedPreferences$Editor.putLong(Ljava/lang/String;J)Landroid/content/SharedPreferences$Editor;&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.content.SharedPreferences.edit()Landroid/content/SharedPreferences$Editor;&android.content.Context.getDir(Ljava/lang/String;I)Ljava/io/File;&android.content.Context.getClassLoader()Ljava/lang/ClassLoader;&dalvik.system.DexFile.loadDex(Ljava/lang/String;Ljava/lang/String;I)Ldalvik/system/DexFile;&android.content.SharedPreferences$Editor.commit()Z&android.content.SharedPreferences.getLong(Ljava/lang/String;J)J&android.content.Context.getSharedPreferences(Ljava/lang/String;I)Landroid/content/SharedPreferences;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,"",android.util.Log.v(Ljava/lang/String;Ljava/lang/String;)I&android.content.SharedPreferences$Editor.putLong(Ljava/lang/String;J)Landroid/content/SharedPreferences$Editor;&android.content.SharedPreferences.edit()Landroid/content/SharedPreferences$Editor;&android.content.SharedPreferences$Editor.commit()Z,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.cameralibrary.FragmentA9CameraPreview$MyPictureCallback.onPictureTaken([BLandroid/hardware/Camera;)V,<=,10,android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;&android.util.Log.e(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Throwable;)I,android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.cameralibrary.FragmentA9CameraPreview.setFocusArea()V,<=,13,"",android.hardware.Camera$Parameters.getMaxNumFocusAreas()I&android.graphics.Rect.<init>(IIII)V&android.hardware.Camera$Parameters.setFocusAreas(Ljava/util/List;)V&android.hardware.Camera$Area.<init>(Landroid/graphics/Rect;I)V&android.hardware.Camera.setParameters(Landroid/hardware/Camera$Parameters;)V,"",android.hardware.Camera$Parameters.getMaxNumFocusAreas()I&android.graphics.Rect.<init>(IIII)V&android.hardware.Camera$Parameters.setFocusAreas(Ljava/util/List;)V&android.hardware.Camera$Area.<init>(Landroid/graphics/Rect;I)V&android.hardware.Camera.setParameters(Landroid/hardware/Camera$Parameters;)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.cameralibrary.FragmentA9CameraPreview.setHigherFrameRate()V,<=,13,"",android.hardware.Camera$Parameters.setRecordingHint(Z)V,"",android.hardware.Camera$Parameters.setRecordingHint(Z)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.cameralibrary.util.PermissionUtils.hasCameraPermissions(Landroid/app/Activity;)Z,<=,22,"",android.content.ContextWrapper.checkSelfPermission(Ljava/lang/String;)I,"",android.content.ContextWrapper.checkSelfPermission(Ljava/lang/String;)I,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.creditcardreaderlibrary.CreditCardReaderFragment$2.onGlobalLayout()V,<=,15,android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.giftcardreaderlibrary.GiftCardReaderFragment$1.onGlobalLayout()V,<=,15,android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.View.getViewTreeObserver()Landroid/view/ViewTreeObserver;&android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.ViewTreeObserver.removeGlobalOnLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,android.view.ViewTreeObserver.removeOnGlobalLayoutListener(Landroid/view/ViewTreeObserver$OnGlobalLayoutListener;)V,,0
cn.amazon.mShop.android,8.5.0.600,16,com.a9.mobile.api.DataUploadManager.doDataUpload(Lcom/a9/mobile/api/DataUploadManager$DataUploadParams;)V,<=,10,android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;,android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;,,0
cn.amazon.mShop.android,8.5.0.600,16,com.amazon.ansel.fetch.BitmapUtil.getBitmapByteCount(Landroid/graphics/Bitmap;)I,<=,11,android.graphics.Bitmap.getRowBytes()I&android.graphics.Bitmap.getHeight()I,android.graphics.Bitmap.getByteCount()I,android.graphics.Bitmap.getRowBytes()I&android.graphics.Bitmap.getHeight()I,android.graphics.Bitmap.getByteCount()I,,0
