app	version	sdk_min	sdk_trg	method	fromLine	toLine	apis	alternative	ruleCheck	warning	message	confidence
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.widget.TextViewCompat$OreoCallback.isSupportedActivity(Landroid/content/pm/ResolveInfo;Landroid/content/Context;)Z	-1	-1	android.content.Context.checkSelfPermission(Ljava/lang/String;)I		SDK_INT <= 22	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 22). Check the Android version before using them. "	12.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.appcompat.widget.AppCompatTextClassifierHelper.getTextClassifier()Landroid/view/textclassifier/TextClassifier;	-1	-1	android.content.Context.getSystemService(Ljava/lang/Class;)Ljava/lang/Object;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getId()Ljava/lang/String;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getDisabledMessage()Ljava/lang/CharSequence;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getShortLabel()Ljava/lang/CharSequence;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getRank()I		SDK_INT <= 24	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 24). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getRank()I		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getActivity()Landroid/content/ComponentName;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.content.pm.ShortcutInfoCompat$Builder.<init>(Landroid/content/Context;Landroid/content/pm/ShortcutInfo;)V	-1	-1	android.content.pm.ShortcutInfo.getLongLabel()Ljava/lang/CharSequence;		SDK_INT <= 23	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 23). Check the Android version before using them. "	1.0
grmpl.mk.stepandheightcounter	1.30	21	30	androidx.core.graphics.drawable.IconCompat.toIcon(Landroid/content/Context;)Landroid/graphics/drawable/Icon;	-1	-1	android.graphics.drawable.Icon.createWithBitmap(Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Icon;		SDK_INT <= 22	BackwardCriticalBug	"[Critical] The APIs you are using must be used only in new Android versions (SDK_INT <= 22). Check the Android version before using them. "	1.0
