app	version	api	times
cn.amazon.mShop.android	8.5.0.600	android.support.graphics.drawable.VectorDrawableCompat$VectorDrawableCompatState.canReuseCache()Z	1
cn.amazon.mShop.android	8.5.0.600	android.support.design.internal.NavigationMenuPresenter.inflateHeaderView(I)Landroid/view/View;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView.access$3600(Landroid/support/v7/widget/RecyclerView;)Ljava/util/ArrayList;	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.AbstractParser.newUninitializedMessageException(Lcom/google/protobuf/MessageLite;)Lcom/google/protobuf/UninitializedMessageException;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.app.AlertController.onKeyUp(ILandroid/view/KeyEvent;)Z	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.games.quest.QuestEntityCreator.createFromParcel(Landroid/os/Parcel;)Lcom/google/android/gms/games/quest/QuestEntity;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.app.AppCompatDelegateImplV11.<init>(Landroid/content/Context;Landroid/view/Window;Landroid/support/v7/app/AppCompatCallback;)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.AbstractMapBasedMultimap$KeySet.<init>(Lcom/google/common/collect/AbstractMapBasedMultimap;Ljava/util/Map;)V	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.internal.e$b.gU()V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.TextFormat.parseUInt32(Ljava/lang/String;)I	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.StaggeredGridLayoutManager.createFullSpanItemFromStart(I)Landroid/support/v7/widget/StaggeredGridLayoutManager$LazySpanLookup$FullSpanItem;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.oi.fd(I)[Lcom/google/android/gms/internal/nz$g;	1
cn.amazon.mShop.android	8.5.0.600	com.google.gson.internal.bind.JsonTreeWriter.get()Lcom/google/gson/JsonElement;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.app.BackStackRecord.remapSharedElements(Landroid/support/v4/app/BackStackRecord$TransitionState;Landroid/support/v4/app/Fragment;Z)Landroid/support/v4/util/ArrayMap;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.pg.b(ILcom/google/android/gms/internal/pn;)I	1
cn.amazon.mShop.android	8.5.0.600	android.support.v4.view.ViewPager.setScrollState(I)V	6
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.GeneratedMessage$Builder$BuilderParentImpl.<init>(Lcom/google/protobuf/GeneratedMessage$Builder;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.common.GooglePlayServicesNotAvailableException.<init>(I)V	2
cn.amazon.mShop.android	8.5.0.600	android.widget.TextView.getImeOptions()I	2
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.TintTypedArray.recycle()V	18
cn.amazon.mShop.android	8.5.0.600	android.support.v4.content.ContextCompat.getColor(Landroid/content/Context;I)I	13
cn.amazon.mShop.android	8.5.0.600	android.graphics.PorterDuff$Mode.valueOf(Ljava/lang/String;)Landroid/graphics/PorterDuff$Mode;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.wallet.MaskedWallet.getVersionCode()I	1
cn.amazon.mShop.android	8.5.0.600	com.google.common.collect.ImmutableSet.access$000(I[Ljava/lang/Object;)Lcom/google/common/collect/ImmutableSet;	1
cn.amazon.mShop.android	8.5.0.600	android.app.Notification$Builder.setSound(Landroid/net/Uri;I)Landroid/app/Notification$Builder;	6
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.request.y.getIdentifier()Ljava/lang/String;	1
cn.amazon.mShop.android	8.5.0.600	android.webkit.WebView.getUrl()Ljava/lang/String;	21
cn.amazon.mShop.android	8.5.0.600	android.database.Cursor.getColumnIndex(Ljava/lang/String;)I	119
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.result.SessionReadResult.getSessions()Ljava/util/List;	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$DescriptorProto.access$4602(Lcom/google/protobuf/DescriptorProtos$DescriptorProto;Lcom/google/protobuf/DescriptorProtos$MessageOptions;)Lcom/google/protobuf/DescriptorProtos$MessageOptions;	2
cn.amazon.mShop.android	8.5.0.600	android.view.ViewGroup.removeAllViews()V	34
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.ActionMenuPresenter.access$200(Landroid/support/v7/widget/ActionMenuPresenter;)Landroid/support/v7/widget/ActionMenuPresenter$OverflowPopup;	2
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.internal.lt.cu(Landroid/os/Parcel;)Lcom/google/android/gms/internal/ls;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.StaggeredGridLayoutManager.getNextSpan(Landroid/support/v7/widget/LayoutState;)Landroid/support/v7/widget/StaggeredGridLayoutManager$Span;	1
cn.amazon.mShop.android	8.5.0.600	com.google.android.gms.fitness.data.i.bp(Landroid/os/Parcel;)Lcom/google/android/gms/fitness/data/Device;	1
cn.amazon.mShop.android	8.5.0.600	android.support.v7.widget.RecyclerView$ItemAnimatorRestoreListener.<init>(Landroid/support/v7/widget/RecyclerView;Landroid/support/v7/widget/RecyclerView$1;)V	1
cn.amazon.mShop.android	8.5.0.600	com.google.protobuf.DescriptorProtos$SourceCodeInfo$Location.isInitialized()Z	1
cn.amazon.mShop.android	8.5.0.600	android.widget.ListView.removeFooterView(Landroid/view/View;)Z	3
cn.amazon.mShop.android	8.5.0.600	android.os.Bundle.writeToParcel(Landroid/os/Parcel;I)V	44
