comparison,version,true_apis,false_apis,napps,keywords
<=,10,android.graphics.drawable.Drawable.invalidateSelf()V,"",1, ||| 
<=,10,"",android.app.ActivityManager.getLargeMemoryClass()I,3, ||| 
<=,10,"",android.widget.AbsListView.setChoiceMode(I)V&android.content.res.TypedArray.getInt(II)I&android.widget.AbsListView.getChoiceMode()I,1, ||| 
<=,10,"",android.widget.AbsListView.isFastScrollAlwaysVisible()Z&android.widget.AbsListView.setFastScrollAlwaysVisible(Z)V&android.content.res.TypedArray.getBoolean(IZ)Z,1, ||| 
<=,10,android.view.View.setLayoutParams(Landroid/view/ViewGroup$LayoutParams;)V&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;,android.view.View.setTranslationY(F)V,1, ||| 
<=,10,"",android.widget.AbsListView.isFastScrollAlwaysVisible()Z,2, ||| 
<=,10,android.graphics.Canvas.clipRect(IIII)Z&android.view.View.getWidth()I,"",1, ||| 
<=,10,android.view.View.getPaddingTop()I&android.view.ViewGroup.getChildAt(I)Landroid/view/View;&android.view.View.getBottom()I&android.view.ViewGroup.getChildCount()I&android.view.View.getTop()I,"",1, ||| 
<=,10,android.os.AsyncTask.execute([Ljava/lang/Object;)Landroid/os/AsyncTask;,android.os.AsyncTask.executeOnExecutor(Ljava/util/concurrent/Executor;[Ljava/lang/Object;)Landroid/os/AsyncTask;,16,"Migrate to Android Studio  (among: 11, score: 0.003367003367003367) ||| Added confirmation dialog when deleting a feed (among: 11, score: 0.16666666666666666) ||| Added chooser activity  (among: 11, score: 0.09090909090909091) ||| Address potential performance issue  (among: 11, score: 0.5) ||| Re-wrote FlattrClickWorker  (among: 11, score: 0.25) ||| Moved core classes into subproject  (among: 11, score: 0.0010626992561105207) ||| Improved AddFeedActivity layout, added gpodder.net toplist fragment  (among: 11, score: 0.07142857142857142) ||| Fixed IllegalStateExceptions in some Fragments  (among: 11, score: 0.5) ||| Run AnalyzeWhitenessTask in parallel to FetchTask  (among: 11, score: 1.0) |||  (among: 11, score: 1.0e-08) ||| "
<=,10,"",android.app.Fragment.startActivity(Landroid/content/Intent;)V,1, ||| 
<=,10,"",android.app.Fragment.startActivityForResult(Landroid/content/Intent;I)V,1, ||| 
<=,10,android.view.SurfaceView.getHolder()Landroid/view/SurfaceHolder;&android.view.SurfaceHolder.setType(I)V,"",1, ||| 
<=,10,android.view.View.setClickable(Z)V,"",1, ||| 
<=,10,"",android.content.res.Resources.getConfiguration()Landroid/content/res/Configuration;&android.content.Context.getResources()Landroid/content/res/Resources;,6, ||| 
<=,10,android.preference.PreferenceGroup.addPreference(Landroid/preference/Preference;)Z&android.preference.Preference.setOnPreferenceChangeListener(Landroid/preference/Preference$OnPreferenceChangeListener;)V&android.preference.PreferenceManager.getDefaultSharedPreferences(Landroid/content/Context;)Landroid/content/SharedPreferences;&android.preference.Preference.setTitle(I)V&android.content.SharedPreferences.getString(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;&android.preference.PreferenceActivity.getPreferenceScreen()Landroid/preference/PreferenceScreen;&android.preference.PreferenceActivity.findPreference(Ljava/lang/CharSequence;)Landroid/preference/Preference;&android.preference.Preference$OnPreferenceChangeListener.onPreferenceChange(Landroid/preference/Preference;Ljava/lang/Object;)Z&android.preference.PreferenceActivity.addPreferencesFromResource(I)V&android.preference.Preference.getKey()Ljava/lang/String;&android.preference.PreferenceCategory.<init>(Landroid/content/Context;)V&android.preference.Preference.getContext()Landroid/content/Context;,"",1, ||| 
<=,10,"",android.preference.PreferenceActivity.loadHeadersFromResource(ILjava/util/List;)V,3, ||| 
<=,10,android.view.View.getMeasuredWidth()I&android.view.View.setMeasuredDimension(II)V,android.view.View.getMeasuredWidthAndState()I&android.view.View.setMeasuredDimension(II)V,1,"Manually add ""namespace"" branch from BetterPickers Fork (https://github.com/DDRBoxman/android-betterpickers) that fixes namespace conflicts with new AppCompat v7 21.0.0 as a new module. It will be updated as soon as it becomes available as Gradle dependency.  (among: 2, score: 0.0034602076124567475) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,android.view.View.post(Ljava/lang/Runnable;)Z&android.os.Handler.removeCallbacks(Ljava/lang/Runnable;)V&android.view.ViewGroup.clearFocus()V&android.os.Handler.postDelayed(Ljava/lang/Runnable;J)Z,android.widget.AbsListView.smoothScrollToPositionFromTop(III)V,4,"Manually add ""namespace"" branch from BetterPickers Fork (https://github.com/DDRBoxman/android-betterpickers) that fixes namespace conflicts with new AppCompat v7 21.0.0 as a new module. It will be updated as soon as it becomes available as Gradle dependency.  (among: 2, score: 0.0034602076124567475) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.widget.AbsListView.setFriction(F)V&android.view.ViewConfiguration.getScrollFriction()F,2,"Manually add ""namespace"" branch from BetterPickers Fork (https://github.com/DDRBoxman/android-betterpickers) that fixes namespace conflicts with new AppCompat v7 21.0.0 as a new module. It will be updated as soon as it becomes available as Gradle dependency.  (among: 2, score: 0.0034602076124567475) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.view.View.setRotation(F)V,1,"Added notification settings, and improved alarms  (among: 2, score: 0.023809523809523808) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.view.View.getRotation()F&android.view.View.setRotation(F)V,1,"Added notification settings, and improved alarms  (among: 2, score: 0.023809523809523808) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.widget.AbsListView.setOnScrollListener(Landroid/widget/AbsListView$OnScrollListener;)V,1,"Added notification settings, and improved alarms  (among: 2, score: 0.023809523809523808) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.graphics.Bitmap$Config.values()[Landroid/graphics/Bitmap$Config;,1, ||| 
<=,10,"",android.app.ActivityManager.isLowRamDevice()Z,1, ||| 
<=,10,android.support.v4.app.Fragment.<init>()V&android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.os.BaseBundle.get(Ljava/lang/String;)Ljava/lang/Object;&android.os.Looper.myLooper()Landroid/os/Looper;&android.content.res.Resources.getDisplayMetrics()Landroid/util/DisplayMetrics;&android.app.FragmentManager.beginTransaction()Landroid/app/FragmentTransaction;&android.content.Context.getPackageName()Ljava/lang/String;&android.app.FragmentTransaction.commitAllowingStateLoss()I&android.support.v4.app.FragmentActivity.getSupportFragmentManager()Landroid/support/v4/app/FragmentManager;&android.os.Handler.<init>(Landroid/os/Looper;Landroid/os/Handler$Callback;)V&android.app.FragmentManager.findFragmentByTag(Ljava/lang/String;)Landroid/app/Fragment;&android.app.ActivityManager.isLowRamDevice()Z&android.os.Handler.post(Ljava/lang/Runnable;)Z&android.content.Context.checkCallingOrSelfPermission(Ljava/lang/String;)I&android.app.Activity.isDestroyed()Z&android.support.v4.app.FragmentTransaction.add(Landroid/support/v4/app/Fragment;Ljava/lang/String;)Landroid/support/v4/app/FragmentTransaction;&android.content.Context.getApplicationContext()Landroid/content/Context;&android.app.Fragment.<init>()V&android.content.ContextWrapper.getBaseContext()Landroid/content/Context;&android.support.v4.app.FragmentManager.findFragmentByTag(Ljava/lang/String;)Landroid/support/v4/app/Fragment;&android.os.BaseBundle.keySet()Ljava/util/Set;&android.content.BroadcastReceiver.<init>()V&android.os.Handler.<init>(Landroid/os/Looper;)V&android.app.ActivityManager.getMemoryClass()I&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.graphics.Bitmap$Config.values()[Landroid/graphics/Bitmap$Config;&android.content.Context.getResources()Landroid/content/res/Resources;&android.content.ContextWrapper.getApplicationContext()Landroid/content/Context;&android.text.format.Formatter.formatFileSize(Landroid/content/Context;J)Ljava/lang/String;&android.support.v4.app.FragmentTransaction.commitAllowingStateLoss()I&android.os.Looper.getMainLooper()Landroid/os/Looper;&android.os.Message.sendToTarget()V&android.app.Activity.getFragmentManager()Landroid/app/FragmentManager;&android.app.FragmentTransaction.add(Landroid/app/Fragment;Ljava/lang/String;)Landroid/app/FragmentTransaction;&android.support.v4.app.FragmentManager.beginTransaction()Landroid/support/v4/app/FragmentTransaction;&android.os.Handler.obtainMessage(ILjava/lang/Object;)Landroid/os/Message;,android.content.pm.PackageManager.getApplicationInfo(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;&android.os.BaseBundle.get(Ljava/lang/String;)Ljava/lang/Object;&android.content.res.Resources.getDisplayMetrics()Landroid/util/DisplayMetrics;&android.os.Looper.myLooper()Landroid/os/Looper;&android.app.FragmentManager.beginTransaction()Landroid/app/FragmentTransaction;&android.app.FragmentTransaction.commitAllowingStateLoss()I&android.content.Context.getPackageName()Ljava/lang/String;&android.app.FragmentManager.findFragmentByTag(Ljava/lang/String;)Landroid/app/Fragment;&android.os.Handler.<init>(Landroid/os/Looper;Landroid/os/Handler$Callback;)V&android.app.ActivityManager.isLowRamDevice()Z&android.os.Handler.post(Ljava/lang/Runnable;)Z&android.content.Context.checkCallingOrSelfPermission(Ljava/lang/String;)I&android.app.Activity.isDestroyed()Z&android.content.Context.getApplicationContext()Landroid/content/Context;&android.app.Fragment.<init>()V&android.os.BaseBundle.keySet()Ljava/util/Set;&android.content.BroadcastReceiver.<init>()V&android.os.Handler.<init>(Landroid/os/Looper;)V&android.app.ActivityManager.getMemoryClass()I&android.content.Context.getPackageManager()Landroid/content/pm/PackageManager;&android.graphics.Bitmap$Config.values()[Landroid/graphics/Bitmap$Config;&android.content.Context.getResources()Landroid/content/res/Resources;&android.text.format.Formatter.formatFileSize(Landroid/content/Context;J)Ljava/lang/String;&android.os.Message.sendToTarget()V&android.os.Looper.getMainLooper()Landroid/os/Looper;&android.app.Activity.getFragmentManager()Landroid/app/FragmentManager;&android.app.FragmentTransaction.add(Landroid/app/Fragment;Ljava/lang/String;)Landroid/app/FragmentTransaction;&android.os.Handler.obtainMessage(ILjava/lang/Object;)Landroid/os/Message;,1, ||| 
<=,10,android.os.Looper.myLooper()Landroid/os/Looper;&android.os.Looper.getMainLooper()Landroid/os/Looper;&android.graphics.drawable.Drawable.invalidateSelf()V,android.os.Looper.myLooper()Landroid/os/Looper;&android.os.Looper.getMainLooper()Landroid/os/Looper;&android.graphics.drawable.Drawable.invalidateSelf()V&android.graphics.drawable.Drawable.getCallback()Landroid/graphics/drawable/Drawable$Callback;,1, ||| 
<=,10,android.os.Looper.myLooper()Landroid/os/Looper;&android.os.Looper.getMainLooper()Landroid/os/Looper;&android.graphics.drawable.Drawable.invalidateSelf()V,"",1, ||| 
<=,10,android.app.Notification.<init>()V,android.app.Notification$Builder.setContentIntent(Landroid/app/PendingIntent;)Landroid/app/Notification$Builder;&android.app.Notification$Builder.<init>(Landroid/content/Context;)V&android.app.Notification$Builder.setWhen(J)Landroid/app/Notification$Builder;&android.app.Notification$Builder.setAutoCancel(Z)Landroid/app/Notification$Builder;&android.app.Notification$Builder.build()Landroid/app/Notification;&android.app.Notification$Builder.setContentTitle(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;&android.app.Notification$Builder.setContentText(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;&android.app.Notification$Builder.getNotification()Landroid/app/Notification;&android.app.Notification$Builder.setSmallIcon(I)Landroid/app/Notification$Builder;,3, ||| 
<=,10,"",android.animation.ValueAnimator.addUpdateListener(Landroid/animation/ValueAnimator$AnimatorUpdateListener;)V&android.animation.ObjectAnimator.start()V&android.animation.ObjectAnimator.ofFloat(Ljava/lang/Object;Ljava/lang/String;[F)Landroid/animation/ObjectAnimator;&android.animation.ObjectAnimator.setDuration(J)Landroid/animation/ObjectAnimator;,2, ||| 
<=,10,"",android.animation.ValueAnimator.addUpdateListener(Landroid/animation/ValueAnimator$AnimatorUpdateListener;)V&android.animation.ValueAnimator.setInterpolator(Landroid/animation/TimeInterpolator;)V&android.animation.ObjectAnimator.start()V&android.animation.ObjectAnimator.ofFloat(Ljava/lang/Object;Ljava/lang/String;[F)Landroid/animation/ObjectAnimator;&android.animation.ObjectAnimator.setDuration(J)Landroid/animation/ObjectAnimator;,1, ||| 
<=,10,"",android.view.View.setLayerType(ILandroid/graphics/Paint;)V,17,"wip  (among: 6, score: 0.06666666666666667) ||| Implemented a new navigation activity (the activity the user starts at). The background image is still missing.  (among: 6, score: 0.14285714285714285) ||| Committed version 3.0 (among: 6, score: 0.0009337068160597573) ||| Turn off HW accelleration for the map view. Conflicts: res/values/appname.xml src/de/blau/android/Map.java  (among: 6, score: 0.25) ||| Enable hardware acceleration This commit bumps the minimum SDK requirement from 10 to 11 in order to enable hardware acceleration by default. A preference has been added to disable/enable the feature, however it is on by default. Devices that are below SDK version 11 are not affected. Summary of changes: - Bump minimum SDK version from 10 to 11 - Added a toast prompting to restart when checking/unchecking the hardware acceleration preference - All preferences are now saved when the preferences activity is destroyed - New strings were added for the preference  (among: 6, score: 0.16666666666666666) |||  (among: 6, score: 1.0e-08) ||| "
<=,10,"",android.graphics.drawable.BitmapDrawable.getIntrinsicHeight()I&android.graphics.Bitmap.eraseColor(I)V&android.graphics.Bitmap.isRecycled()Z&android.graphics.drawable.BitmapDrawable.getBitmap()Landroid/graphics/Bitmap;&android.graphics.Bitmap.isMutable()Z&android.graphics.BitmapFactory.decodeByteArray([BIILandroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;&android.graphics.drawable.BitmapDrawable.getIntrinsicWidth()I&android.graphics.BitmapFactory.decodeStream(Ljava/io/InputStream;Landroid/graphics/Rect;Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;&android.graphics.BitmapFactory$Options.<init>()V&android.graphics.Bitmap.setHasAlpha(Z)V,1, ||| 
